@timestamp,method,req_path,domain,rsp_code,rsp_code_details,src_ip,total_duration_seconds,rsp_size,country,response_flags
2026-03-14T21:01:08.853Z,GET,/english/MediaCenter/pageindex987/18/Qatargas-sponsors-Best-Overall-Prize-at-18th-Annual-Plant-Design-Competition,www.qatarenergylng.qa,200,via_upstream,114.119.157.156,,177843,SG,
2026-03-14T21:00:58.489Z,GET,/,www.qatarenergylng.qa,301,via_upstream,5.134.119.46,,1780,ES,
2026-03-14T21:00:54.417Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,5.134.119.46,,110926,ES,
2026-03-14T21:00:31.246Z,GET,/english/MediaCenter/pageindex987/63/QatargasÃƒÂƒÃ†Â’ÃƒÂ‚Ã†Â’ÃƒÂƒÃ¢Â€ÂšÃƒÂ‚Ã‚Â¢ÃƒÂƒÃ†Â’ÃƒÂ‚Ã¢Â€ÂšÃƒÂƒÃ‚Â¢ÃƒÂ‚Ã¢Â€ÂšÃƒÂ‚Ã‚Â¬ÃƒÂƒÃ†Â’ÃƒÂ‚Ã¢Â€ÂšÃƒÂƒÃ‚Â¢ÃƒÂ‚Ã¢Â€ÂžÃƒÂ‚Ã‚Â¢-Shipping-Department-wins-prestigious-British-Safety-Council-awards,www.qatarenergylng.qa,200,via_upstream,51.89.129.6,,167155,GB,
2026-03-14T21:00:21.025Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,20.215.220.102,,111854,PL,
2026-03-14T21:00:19.091Z,GET,/english,www.qatarenergylng.qa,200,via_upstream,212.77.203.83,,111425,QA,
2026-03-14T21:00:10.784Z,GET,/portals/0/SiteImages/Image2.jpg,www.qatarenergylng.qa,200,via_upstream,37.210.34.124,,60400,QA,
2026-03-14T21:00:07.624Z,GET,/english/desktopmodules/Adv.Modules.QG.News.API.Services/API/News/GetArticles,www.qatarenergylng.qa,200,via_upstream,4.170.17.149,,5112,QA,
2026-03-14T21:00:07.112Z,GET,/english,www.qatarenergylng.qa,200,via_upstream,80.76.167.222,,111531,QA,
2026-03-14T21:00:00.984Z,GET,/english/MediaCenter/pageindex987/18/Qatargas-successfully-completes-key-milestone-of-its-Marine-Biodiversity-Programme,www.qatarenergylng.qa,200,via_upstream,114.119.143.152,,177864,SG,
2026-03-14T20:59:55.639Z,GET,/Portals/0/DNNGalleryPro/uploads/2024/3/18/ThePioneer160English.pdf,www.qatarenergylng.qa,200,via_upstream,20.215.220.177,,4589040,PL,
2026-03-14T20:59:46.083Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,20.215.220.180,,111875,PL,
2026-03-14T20:59:46.083Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,20.215.220.180,,111830,PL,
2026-03-14T20:59:34.751Z,GET,/,www.qatarenergylng.qa,301,via_upstream,20.215.220.177,,1781,PL,
2026-03-14T20:59:34.751Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,20.215.220.177,,111853,PL,
2026-03-14T20:59:32.844Z,GET,/,www.qatarenergylng.qa,301,via_upstream,20.215.220.180,,1781,PL,
2026-03-14T20:59:32.844Z,GET,/,www.qatarenergylng.qa,301,via_upstream,20.215.220.180,,1781,PL,
2026-03-14T20:59:29.752Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,20.215.220.180,,111949,PL,
2026-03-14T20:59:29.596Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,20.215.220.177,,111779,PL,
2026-03-14T20:59:28.608Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,20.215.220.177,,111900,PL,
2026-03-14T20:59:28.608Z,GET,/,qatarenergylng.qa,301,via_upstream,20.215.220.190,,387,PL,
2026-03-14T20:59:28.062Z,GET,/,qatarenergylng.qa,301,via_upstream,20.215.220.190,,387,PL,
2026-03-14T20:59:28.062Z,GET,/,qatarenergylng.qa,301,via_upstream,20.215.220.190,,387,PL,
2026-03-14T20:59:27.746Z,GET,/,www.qatarenergylng.qa,301,via_upstream,20.215.220.180,,1781,PL,
2026-03-14T20:59:27.609Z,GET,/,www.qatarenergylng.qa,301,via_upstream,20.215.220.177,,1781,PL,
2026-03-14T20:59:27.609Z,GET,/,qatarenergylng.qa,301,via_upstream,20.215.220.190,,387,PL,
2026-03-14T20:59:27.609Z,GET,/,www.qatarenergylng.qa,301,via_upstream,20.215.220.177,,1781,PL,
2026-03-14T20:59:27.609Z,GET,/,qatarenergylng.qa,301,via_upstream,20.215.220.190,,387,PL,
2026-03-14T20:59:27.609Z,GET,/,qatarenergylng.qa,301,via_upstream,20.215.220.190,,387,PL,
2026-03-14T20:59:19.316Z,GET,/english/MediaCenter/Qatargas-completes-landmark-environmental-project-to-protect-QatarÃƒÂƒÃ‚Â¢ÃƒÂ‚Ã¢Â‚Â¬ÃƒÂ‚Ã¢Â„Â¢s-rich-marine-biodiversity,www.qatarenergylng.qa,200,via_upstream,198.244.168.138,,178601,GB,
2026-03-14T20:58:21.290Z,GET,/english/MediaCenter/pageindex987/15/Al-Khor-International-School-students-win-top-engineering-award,www.qatarenergylng.qa,200,via_upstream,85.208.96.210,,177714,US,
2026-03-14T20:58:16.334Z,GET,/english/Operations/Laffan-Refinery,www.qatarenergylng.qa,200,via_upstream,52.230.163.47,,42435,US,
2026-03-14T20:58:14.407Z,GET,/english/MediaCenter/pageindex987/61/news,www.qatarenergylng.qa,200,via_upstream,185.191.171.19,,177947,GB,
2026-03-14T20:57:59.591Z,GET,/english/MediaCenter/pageindex987/52/Article_167,www.qatarenergylng.qa,200,via_upstream,34.230.124.21,,177556,US,
